uv_power_mw_cm2,exposure_seconds,dose_mJ_cm2,distance_cm,temp_c,initial_cfu_log,D90_mJ_cm2,spectral_410nm,spectral_435nm,spectral_500nm,spectral_560nm,spectral_585nm,spectral_630nm,target_log_reduction
0.7553,236.484,178.625,11.836,16.99,6.38,6.044,942.72,946.24,874.21,948.0,807.35,877.02,6.228
1.9019,284.325,540.763,10.654,23.42,3.107,5.233,902.43,788.72,810.16,771.3,727.41,822.24,3.107
1.4667,512.801,752.109,6.108,18.63,4.08,3.351,1019.64,898.91,836.87,779.58,844.91,765.84,3.964
1.2013,204.333,245.471,18.611,6.17,5.98,5.01,1016.85,948.1,920.45,837.83,804.08,895.24,5.98
0.3205,521.855,167.243,14.822,8.83,4.893,3.214,973.02,878.58,904.49,894.75,789.9,755.11,4.893
0.3204,53.337,17.091,26.105,9.7,6.431,3.049,1062.58,1052.76,913.99,783.02,951.48,966.37,6.37
0.1256,466.191,58.547,1.931,10.7,7.767,4.16,1050.94,1044.5,960.56,953.37,870.71,918.85,7.767
1.7337,508.605,881.763,19.672,18.7,2.699,4.701,865.94,863.85,824.02,796.25,752.14,770.29,2.64
1.2062,109.5,132.081,23.126,17.1,6.257,5.088,953.97,1026.21,823.21,915.87,875.16,842.4,6.257
1.4191,258.493,366.818,23.025,9.28,3.382,7.291,935.1,934.38,791.45,753.21,774.97,797.08,3.278
0.051,99.717,5.082,26.696,5.76,4.487,3.754,915.98,848.57,835.74,725.5,894.31,838.21,3.411
1.9401,424.109,822.823,22.142,8.46,2.197,5.492,803.38,745.57,696.11,867.49,771.75,699.68,2.197
1.6666,321.441,535.701,27.906,29.59,2.815,5.295,857.22,847.02,660.44,792.81,822.19,779.4,2.815
0.4326,381.376,164.966,10.647,16.18,3.919,3.478,841.05,841.07,927.87,924.12,783.45,772.97,3.887
0.3718,118.294,43.985,15.593,26.55,4.052,5.184,946.89,884.66,878.54,840.01,798.98,784.89,3.939
0.375,127.442,47.787,1.408,26.07,7.398,7.507,1025.45,908.7,897.79,929.34,971.46,887.2,7.354
0.6154,25.378,15.618,1.202,17.3,6.451,5.466,986.02,1043.28,882.27,928.37,835.73,786.79,6.169
1.0543,193.579,204.084,7.964,22.37,7.833,5.566,995.47,995.61,991.37,994.92,955.54,848.28,7.833
0.8696,336.067,292.234,3.923,9.01,5.594,3.237,886.27,926.6,974.2,948.19,891.79,712.0,5.47
0.5895,514.832,303.517,8.546,21.9,3.45,9.922,890.07,851.57,835.63,830.5,729.77,731.72,3.36
1.2276,400.323,491.431,6.134,11.08,3.966,3.379,896.29,932.24,829.38,867.97,678.46,773.74,3.966
0.2876,261.52,75.211,1.827,25.63,3.919,0.831,873.87,772.55,770.97,910.16,801.3,714.3,3.919
0.5914,571.896,338.201,27.37,6.18,3.959,7.15,930.13,901.95,798.91,831.88,833.77,818.87,3.86
0.7391,431.687,319.043,1.238,24.1,6.038,4.713,897.28,934.89,981.84,848.96,889.51,945.62,5.897
0.9176,558.134,512.132,22.346,6.6,5.185,4.242,1004.32,971.03,856.82,876.25,795.16,813.98,5.135
1.5725,316.789,498.151,5.412,26.91,4.313,3.636,924.53,856.41,876.19,829.38,897.49,794.98,4.164
0.4074,155.713,63.43,27.455,11.91,2.895,9.679,859.96,830.34,800.99,802.76,765.91,723.12,2.878
1.0333,32.17,33.242,26.891,21.01,2.133,5.886,822.54,845.42,781.12,810.92,696.96,769.95,2.133
1.1889,435.788,518.11,19.963,16.68,3.313,6.374,873.58,868.78,829.81,818.44,825.45,692.81,3.185
0.1024,73.221,7.501,20.495,13.52,2.645,5.407,827.63,790.46,760.11,824.04,778.27,570.88,1.969
1.219,182.014,221.877,1.155,20.78,6.713,5.675,967.04,883.5,1004.2,860.51,883.5,984.19,6.713
0.3493,319.716,111.691,29.561,28.64,2.675,8.497,895.17,841.79,777.9,657.86,780.06,822.38,2.675
0.1395,338.868,47.256,26.457,5.07,6.345,4.373,974.19,982.86,933.42,996.6,982.11,784.0,6.333
1.8983,360.55,684.425,26.958,27.89,4.314,1.358,893.42,899.11,875.07,891.83,804.2,678.77,4.302
1.9316,100.17,193.489,20.118,19.84,2.44,7.17,799.44,849.62,787.92,794.89,744.12,782.58,2.348
1.6187,228.153,369.313,10.999,24.99,6.876,6.242,1024.61,929.0,933.97,909.11,883.98,873.04,6.855
0.6162,370.508,228.3,26.916,13.98,5.478,5.27,999.07,909.65,950.98,777.59,746.42,863.47,5.478
